,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
0,0.91,Very Good,H,SI2,63.4,57.0,6.1,6.18,3.89,2813.1298748880927
1,0.38,Good,F,VS2,60.3,61.0,4.68,4.71,2.83,853.9151423122871
2,0.52,Ideal,H,VS2,61.8,56.0,5.19,5.16,3.2,1468.3328254868854
3,1.1,Ideal,G,VS1,61.3,56.0,6.65,6.69,4.09,7201.398931723681
4,2.28,Ideal,G,SI2,61.6,57.0,8.44,8.37,5.18,18271.050145611487
5,2.01,Very Good,J,VS2,60.8,58.0,8.08,8.16,4.94,12932.300341557924
6,1.06,Ideal,G,SI2,62.2,57.0,6.51,6.49,4.04,4305.060035735382
7,0.7,Premium,E,SI1,60.1,58.0,5.81,5.83,3.5,2676.714930226229
8,0.73,Premium,I,VS2,59.7,59.0,5.94,5.81,3.51,2485.02830285418
9,0.73,Ideal,H,IF,61.6,55.0,5.8,5.82,3.58,3856.809085005388
10,1.0,Good,D,VS2,64.1,58.0,6.24,6.33,4.03,5684.31816081898
11,0.33,Ideal,G,VVS2,60.1,57.0,4.48,4.51,2.7,810.6654607362356
12,0.54,Ideal,J,VVS2,61.6,57.0,5.25,5.23,3.23,1409.0764029163206
13,0.33,Ideal,D,VS2,61.9,53.0,4.49,4.46,2.77,795.0498004801221
14,0.51,Fair,D,VS2,64.4,54.0,5.06,5.03,3.25,1540.6849462463404
15,0.51,Ideal,E,SI1,62.4,55.0,5.09,5.14,3.19,1466.4846523161034
16,0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7,367.59752015344117
17,2.66,Good,H,SI2,64.3,60.0,8.71,8.65,5.58,20757.372795693213
18,0.92,Premium,F,SI1,61.8,59.0,6.21,6.25,3.85,4165.751584302025
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,782.2057180843823
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,4161.410085465852
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,803.0329844369697
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,3966.7871096036097
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,4885.888830732736
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,6787.980116585582
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,1050.8126331965323
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,2293.8978475192407
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,2041.5788060812283
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,1425.289569327789
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,1110.2858314381651
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,5012.547716033702
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,921.9317887603302
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,3227.679085947504
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,3160.1977011178897
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,1262.3966048942998
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,6706.459244227677
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1299.0864787839491
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,6156.927888933283
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,640.9196845220112
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,423.76789589615834
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,846.3704945466149
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,743.6877208695471
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,444.92974109229124
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,674.6734358151557
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,11973.748164574698
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,5238.916702972352
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,9097.318761055769
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,1150.6457159590536
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,889.4734434186577
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,3817.563625283291
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1658.7416074832977
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,4435.031576496557
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,6611.9499314761215
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,562.2058312677499
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3048.9108579532517
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,11426.738381499814
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,339.41367823437963
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,2296.217186042057
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,5768.05393718279
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,4112.405359124947
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,1978.175413419078
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,1093.4145790522027
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,4104.215804545528
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1422.9576710665012
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1689.4117214884309
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,10219.357297855124
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,657.7925858810811
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1887.0360230824954
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,5892.503751176856
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,967.9504511605254
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,638.4429789354568
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,631.1797817081907
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,6015.149131449546
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,565.2447115990379
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,816.1247012676689
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,3964.9713858937207
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,610.8977645560932
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1611.0892196343336
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1423.4124248002317
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,1450.521328669816
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,837.2701803862357
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,1211.7823366891344
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,638.4481015604513
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4237.378508202185
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,2556.6461695278854
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,2189.833463427848
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,559.0855863228649
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2339.265723599978
